Owner,SHA256 Hash,MD5 Hash,File,Size,Last Modified,File Created,Content Scan,File Type,Permissions,Last Accessed
Ahmad Al-ansary,f637652b86e36f00a0b75cd46640d8ce9dcca8369abff9e070dd7e3f1102168b,11d7a7162820a832571974e607d678a2,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The digital age has brought forth a myriad of advantages.docx,37554,Tue Jun 25 20:53:27 2024,Tue Jun 25 20:52:47 2024,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,666,Wed Oct  2 12:30:12 2024
Ahmad Al-ansary,48cce2556c56c39cb0106a01a8b0ea72ef411b95998f824e67cd4a0424260d3a,b2aa9ecc4bb152aa13bd834f28384f30,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\THE IMPACT OF CASHLESS POLICY TOOLS ON MONEY CIRCULATING OUTSIDE.pdf,458087,Wed Jul 10 15:26:13 2024,Wed Jul 10 15:26:10 2024,,application/pdf,666,Wed Jul 10 22:27:50 2024
Administrators,4f968ff1805e0136a8ba304cf99cb380fecf937dc55c8ff3e5afdac1f70593e8,9cfe6b5fe384d1c1808c8f8e13f0f966,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The Threat of Offensive AI to Organizations.pdf,1027392,Tue Jul 30 11:14:12 2024,Tue Jul 30 11:14:12 2024,,application/pdf,666,Thu Sep 12 18:24:40 2024
Administrators,5e68a6e129b6c1afec7b9becf8b4ad8cc8b212012bd4da31b51effb9e030059d,2371e681a9079476621458113541a641,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The_application_of_AI in credit card fraud detection.pdf,493169,Sun Jul 28 12:38:42 2024,Sun Jul 28 12:38:41 2024,,application/pdf,666,Sun Aug 11 17:46:53 2024
Ahmad Al-ansary,33a7eb1215d34e0eb0b5a21227914c526ac30516a9252c9d32d46fbed99edca7,92b83639327ad61912de0bd957d4d9d1,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The_influence_of_cyber_security_on_financial_fraud.pdf,823371,Sat Jan 27 18:55:17 2024,Wed May  8 21:39:57 2024,,application/pdf,666,Fri Aug 23 19:54:26 2024
Ahmad Al-ansary,29dbbd88d694eb049cae849cbdcbfbb73bcdfe3900e9365317b68b3acab72837,73d5e44e46545c8ce70794c9acc7f590,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\TUG of War AI and cybersecurity.pdf,3190486,Sun Jun 23 14:49:56 2024,Sun Jun 23 14:49:21 2024,,application/pdf,666,Tue Jun 25 21:15:15 2024
Ahmad Al-ansary,97aafe12d2485f4d560252d8cb63201c2601bc37dfea9044dd1e5d7db06d9b13,595888bc001a6805b4bcb8d1bbf720ac,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Untitled Bibliography.rtf,73,Mon Jul  1 22:16:26 2024,Mon Jul  1 22:16:25 2024,,text/plain,666,Tue Jul  2 23:31:51 2024
Administrators,8129b96bad60f5514fcb1f5fed77acc3553abf715e1475b26f426417bcdf057c,af8b20ddabc109b5c8c7bfc8919cd415,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Untitled-1.py,24,Sun Sep 15 22:47:09 2024,Sun Sep 15 22:47:03 2024,,text/plain,666,Tue Oct  1 16:47:27 2024
Ahmad Al-ansary,d8d84c1ec9544a83f20de96bfb21269a2214f79590ed9a92d87fe3fe598f08c3,54e1cc5a317c4129405fa81c9c3ad129,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Utilizing_Bio_Metric_System_for_Enhancing_Cyber_Security_in_Banking_Sector_A_Systematic_Analysis.pdf,7653879,Wed May  8 15:21:03 2024,Wed May  8 15:20:59 2024,,application/pdf,666,Fri Aug 23 19:59:09 2024
Ahmad Al-ansary,c443bafe22e23378feef81e3b83ecce0049fc1b8f96316b4c731e1816213548f,4576829ff9701257d3bde50bb0304460,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\~$e digital age has brought forth a myriad of advantages.docx,162,Tue Jun 25 20:52:48 2024,Tue Jun 25 20:52:48 2024,,application/octet-stream,666,Tue Jun 25 21:15:08 2024
